Date,Confirmed,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline
2020-02-15,0,-2,-1,-4,2
2020-02-16,0,-7,-7,-33,-5
2020-02-17,0,-3,-1,0,-3
2020-02-18,0,1,1,9,-1
2020-02-19,0,0,0,12,-2
2020-02-20,0,1,-1,-3,-1
2020-02-21,0,1,1,15,-1
2020-02-22,0,-6,-3,-24,-4
2020-02-23,0,1,-2,-9,0
2020-02-24,0,-2,-1,12,2
2020-02-25,0,-3,-3,-4,1
2020-02-26,0,-2,-2,1,0
2020-02-27,1,2,1,21,2
2020-02-28,1,17,1,23,6
2020-02-29,3,10,-4,-17,5
2020-03-01,4,21,-7,-5,5
2020-03-02,4,11,-5,28,1
2020-03-03,6,10,-5,9,-1
2020-03-04,11,9,-5,16,1
2020-03-05,11,10,-3,30,-1
2020-03-06,24,7,-3,11,-2
2020-03-07,24,10,-2,47,7
2020-03-08,37,11,-8,-7,-1
2020-03-09,92,5,-5,14,-3
2020-03-10,264,3,-4,-6,-7
2020-03-11,444,5,5,25,-10
2020-03-12,617,-11,22,-16,-36
2020-03-13,804,-28,-7,2,-48
2020-03-14,836,-31,-9,86,-36
2020-03-15,875,-33,-24,-8,-50
2020-03-16,933,-24,-14,50,-52
2020-03-17,1025,-25,-4,38,-55
2020-03-18,1116,-41,-21,11,-61
2020-03-19,1225,-39,-20,104,-58
2020-03-20,1337,-44,-22,64,-62
2020-03-21,1420,-48,-21,85,-55
2020-03-22,1514,-38,-25,49,-60
2020-03-23,1572,-36,-20,54,-60
2020-03-24,1718,-36,-18,61,-60
2020-03-25,1862,-37,-18,67,-59
2020-03-26,2023,-36,-17,91,-59
2020-03-27,2200,-39,-18,96,-61
2020-03-28,2366,-43,-14,79,-56
2020-03-29,2564,-37,-22,35,-60
2020-03-30,2755,-33,-18,53,-59
2020-03-31,3039,-23,-4,70,-54
2020-04-01,3290,-32,-12,13,-58
2020-04-02,3573,-34,-13,11,-61
2020-04-03,3946,-35,-10,32,-61
2020-04-04,4269,-38,-8,59,-53
2020-04-05,4561,-22,-12,118,-49
2020-04-06,4875,-15,-5,161,-52
2020-04-07,5266,-13,4,167,-51
2020-04-08,5597,-9,11,131,-51
2020-04-09,5830,-40,-16,188,-62
2020-04-10,6014,-60,-36,172,-65
2020-04-11,6191,-31,4,50,-52
