Date,Confirmed,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline
2020-02-15,16,6,1,45,10
2020-02-15,16,6,1,52,10
2020-02-15,16,7,2,37,13
2020-02-15,16,5,6,46,5
2020-02-15,16,10,5,48,9
2020-02-15,16,4,3,93,13
2020-02-15,16,6,2,51,10
2020-02-15,16,7,3,42,7
2020-02-15,16,9,1,50,17
2020-02-15,16,6,-1,51,15
2020-02-15,16,5,2,61,11
2020-02-15,16,2,0,36,6
2020-02-15,16,4,-3,36,4
2020-02-15,16,4,-1,33,14
2020-02-15,16,2,-1,34,8
2020-02-15,16,6,2,31,14
2020-02-15,16,4,1,47,13
2020-02-16,16,7,10,9,6
2020-02-16,16,23,43,64,20
2020-02-16,16,14,32,33,12
2020-02-16,16,1,3,-2,1
2020-02-16,16,3,0,-14,0
2020-02-16,16,-12,-20,7,-8
2020-02-16,16,-2,9,-2,0
2020-02-16,16,11,16,35,7
2020-02-16,16,2,8,-5,2
2020-02-16,16,-7,-8,-26,-7
2020-02-16,16,0,2,-9,3
2020-02-16,16,16,19,32,11
2020-02-16,16,10,-7,20,2
2020-02-16,16,6,13,4,2
2020-02-16,16,0,16,-5,-2
2020-02-16,16,-5,-19,-40,-4
2020-02-16,16,5,16,5,10
2020-02-17,16,2,2,7,1
2020-02-17,16,0,-1,-11,0
2020-02-17,16,1,2,10,1
2020-02-17,16,6,3,15,4
2020-02-17,16,3,4,9,1
2020-02-17,16,-2,0,14,1
2020-02-17,16,4,2,23,2
2020-02-17,16,-1,0,5,-1
2020-02-17,16,1,2,14,3
2020-02-17,16,8,-1,45,-8
2020-02-17,16,1,2,2,2
2020-02-17,16,0,-1,1,-10
2020-02-17,16,0,-2,-6,-14
2020-02-17,16,5,-2,11,-8
2020-02-17,16,4,4,12,2
2020-02-17,16,3,2,19,1
2020-02-17,16,1,3,5,4
2020-02-18,16,2,2,10,1
2020-02-18,16,4,3,16,1
2020-02-18,16,3,3,25,1
2020-02-18,16,2,0,3,-1
2020-02-18,16,1,1,8,1
2020-02-18,16,3,1,4,0
2020-02-18,16,5,2,13,3
2020-02-18,16,0,1,6,-1
2020-02-18,16,1,1,7,0
2020-02-18,16,5,-3,23,-15
2020-02-18,16,4,4,9,3
2020-02-18,16,2,-1,8,-10
2020-02-18,16,2,-2,2,-15
2020-02-18,16,6,-3,22,-8
2020-02-18,16,0,0,11,-1
2020-02-18,16,3,2,6,1
2020-02-18,16,1,1,13,3
2020-02-19,16,3,0,6,-1
2020-02-19,16,2,0,3,-2
2020-02-19,16,1,-2,1,-1
2020-02-19,16,0,-2,8,1
2020-02-19,16,0,-1,-2,-3
2020-02-19,16,3,-3,1,0
2020-02-19,16,-2,-3,-9,-3
2020-02-19,16,1,0,5,-3
2020-02-19,16,2,-1,5,-1
2020-02-19,16,5,-4,18,-6
2020-02-19,16,7,7,12,2
2020-02-19,16,4,0,7,-7
2020-02-19,16,3,-1,-19,-11
2020-02-19,16,1,-6,-7,-11
2020-02-19,16,-1,-4,6,-2
2020-02-19,16,3,0,2,-1
2020-02-19,16,2,-1,5,0
2020-02-20,16,2,-1,14,3
2020-02-20,16,6,0,18,5
2020-02-20,16,4,1,11,1
2020-02-20,16,2,0,11,0
2020-02-20,16,2,1,10,0
2020-02-20,16,3,0,-2,1
2020-02-20,16,-3,-1,-8,0
2020-02-20,16,0,-1,0,3
2020-02-20,16,0,1,2,0
2020-02-20,16,4,-3,16,-6
2020-02-20,16,5,-4,23,11
2020-02-20,16,1,-7,21,-4
2020-02-20,16,8,-4,-3,-11
2020-02-20,16,3,-5,6,-7
2020-02-20,16,0,-1,4,-1
2020-02-20,16,1,1,-3,0
2020-02-20,16,0,0,2,1
2020-02-21,16,2,2,15,-1
2020-02-21,16,1,1,16,-2
2020-02-21,16,1,2,13,1
2020-02-21,16,0,1,11,0
2020-02-21,16,0,1,0,-2
2020-02-21,16,2,-1,19,3
2020-02-21,16,2,1,15,6
2020-02-21,16,3,2,17,2
2020-02-21,16,2,3,22,3
2020-02-21,16,0,-3,26,-6
2020-02-21,16,0,3,19,-4
2020-02-21,16,-2,0,23,-5
2020-02-21,16,0,-2,14,-12
2020-02-21,16,-1,-4,-5,-11
2020-02-21,16,3,0,8,1
2020-02-21,16,0,2,26,3
2020-02-21,16,0,1,9,1
2020-02-22,16,-1,-2,26,9
2020-02-22,16,2,-2,57,15
2020-02-22,16,3,1,50,10
2020-02-22,16,1,1,28,3
2020-02-22,16,4,1,25,3
2020-02-22,16,7,-4,10,12
2020-02-22,16,2,-5,0,8
2020-02-22,16,2,1,25,7
2020-02-22,16,-1,-1,13,7
2020-02-22,16,-2,-5,-6,2
2020-02-22,16,-5,-3,10,12
2020-02-22,16,-3,-2,37,20
2020-02-22,16,-2,-5,30,2
2020-02-22,16,2,-2,17,9
2020-02-22,16,0,-2,13,-1
2020-02-22,16,-3,-3,-10,9
2020-02-22,16,3,1,24,8
2020-02-23,16,0,9,-24,2
2020-02-23,16,9,36,5,11
2020-02-23,16,7,37,0,6
2020-02-23,16,11,107,-24,-4
2020-02-23,16,-9,-7,-42,-9
