Date,Confirmed,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline
2020-02-15,3,3,-1,35,9
2020-02-15,3,2,2,36,9
2020-02-15,3,8,5,27,12
2020-02-15,3,-1,1,4,2
2020-02-15,3,-1,-1,12,0
2020-02-15,3,-2,-2,12,3
2020-02-15,3,2,-1,23,10
2020-02-15,3,5,4,25,7
2020-02-15,3,3,1,45,10
2020-02-15,3,4,-1,43,9
2020-02-15,3,3,2,41,8
2020-02-15,3,2,-1,50,8
2020-02-15,3,4,-1,32,9
2020-02-15,3,2,1,25,4
2020-02-15,3,1,0,23,4
2020-02-15,3,-2,-1,23,4
2020-02-15,3,0,-2,20,1
2020-02-15,3,4,2,22,12
2020-02-15,3,5,0,75,13
2020-02-15,3,3,-1,55,14
2020-02-15,3,6,1,54,18
2020-02-16,3,3,2,26,11
2020-02-16,3,2,8,47,26
2020-02-16,3,9,6,14,14
2020-02-16,3,3,0,73,12
2020-02-16,3,6,1,38,13
2020-02-16,3,3,2,32,8
2020-02-16,3,1,-1,30,17
2020-02-16,3,1,6,39,5
2020-02-16,3,5,5,36,12
2020-02-16,3,6,1,37,8
2020-02-16,3,0,3,-10,2
2020-02-16,3,-1,2,13,2
2020-02-16,3,5,7,49,20
2020-02-16,3,9,3,63,25
2020-02-16,3,1,0,5,7
2020-02-16,3,4,0,32,8
2020-02-16,3,1,1,27,7
2020-02-16,3,10,11,16,15
2020-02-16,3,4,2,30,11
2020-02-16,3,4,6,39,22
2020-02-16,3,5,4,48,27
2020-02-17,3,0,1,7,3
2020-02-17,3,-1,2,11,7
2020-02-17,3,11,8,14,5
2020-02-17,3,-1,0,13,4
2020-02-17,3,-2,0,10,1
2020-02-17,3,-1,-1,18,5
2020-02-17,3,-1,-1,3,5
2020-02-17,3,1,2,14,5
2020-02-17,3,0,1,3,1
2020-02-17,3,1,1,13,3
2020-02-17,3,-5,-4,-20,-2
2020-02-17,3,-3,-2,-14,1
2020-02-17,3,1,1,12,5
2020-02-17,3,-1,-1,12,6
2020-02-17,3,-1,1,3,0
2020-02-17,3,0,0,14,3
2020-02-17,3,-2,-1,6,2
2020-02-17,3,5,6,5,4
2020-02-17,3,1,3,9,3
2020-02-17,3,0,2,19,5
2020-02-17,3,-1,2,11,6
2020-02-18,3,3,1,16,4
2020-02-18,3,1,2,22,5
2020-02-18,3,12,7,25,9
2020-02-18,3,0,-1,15,5
2020-02-18,3,0,-1,21,-1
2020-02-18,3,-1,-2,13,5
2020-02-18,3,0,-1,7,5
2020-02-18,3,1,1,6,2
2020-02-18,3,5,2,22,4
2020-02-18,3,2,0,11,2
2020-02-18,3,1,1,19,3
2020-02-18,3,2,1,32,4
2020-02-18,3,2,0,14,3
2020-02-18,3,4,0,17,7
2020-02-18,3,2,0,22,3
2020-02-18,3,0,0,7,1
2020-02-18,3,-2,-3,14,5
2020-02-18,3,9,4,26,10
2020-02-18,3,2,1,21,2
2020-02-18,3,1,1,26,6
2020-02-18,3,4,1,28,7
2020-02-19,3,0,-1,11,3
2020-02-19,3,-4,-1,-12,1
2020-02-19,3,5,7,10,3
2020-02-19,3,-3,-2,4,3
2020-02-19,3,-3,-1,5,0
2020-02-19,3,-6,-1,-2,0
2020-02-19,3,-2,-2,-4,2
2020-02-19,3,1,0,12,2
2020-02-19,3,1,1,12,1
2020-02-19,3,-2,-3,-2,0
2020-02-19,3,-1,0,10,1
2020-02-19,3,2,1,19,4
2020-02-19,3,0,-1,0,1
2020-02-19,3,-1,0,-9,-1
2020-02-19,3,1,0,15,0
2020-02-19,3,-1,-1,0,1
2020-02-19,3,-1,-1,5,3
2020-02-19,3,7,6,11,7
2020-02-19,3,0,0,9,0
2020-02-19,3,0,0,2,3
2020-02-19,3,3,0,23,7
2020-02-20,3,2,1,18,5
2020-02-20,3,1,4,-3,5
2020-02-20,3,11,4,31,8
2020-02-20,3,-3,-1,-7,2
2020-02-20,3,-4,-1,-5,-4
2020-02-20,3,-4,1,4,3
2020-02-20,3,0,-1,4,6
2020-02-20,3,2,0,19,5
2020-02-20,3,3,1,19,3
2020-02-20,3,2,1,21,5
2020-02-20,3,1,2,20,4
2020-02-20,3,2,0,19,4
2020-02-20,3,3,1,33,6
2020-02-20,3,-1,-1,-13,0
2020-02-20,3,2,1,23,4
2020-02-20,3,1,-1,20,5
2020-02-20,3,0,0,9,4
2020-02-20,3,8,5,26,11
2020-02-20,3,2,0,28,3
2020-02-20,3,2,0,14,4
2020-02-20,3,5,2,33,10
2020-02-21,20,1,1,19,5
2020-02-21,20,1,3,6,7
2020-02-21,20,11,9,29,16
2020-02-21,20,-1,1,5,5
2020-02-21,20,-2,2,14,0
2020-02-21,20,-2,-1,7,0
2020-02-21,20,0,1,6,8
2020-02-21,20,1,2,11,4
2020-02-21,20,2,2,21,7
2020-02-21,20,1,0,21,6
2020-02-21,20,7,7,50,6
2020-02-21,20,1,1,20,3
2020-02-21,20,1,0,14,7
2020-02-21,20,3,1,8,7
2020-02-21,20,1,1,25,5
2020-02-21,20,-1,0,5,3
2020-02-21,20,0,0,19,1
2020-02-21,20,4,5,13,6
2020-02-21,20,2,1,28,6
2020-02-21,20,2,2,18,8
2020-02-21,20,4,2,36,13
2020-02-22,62,-1,3,30,8
2020-02-22,62,1,6,34,8
2020-02-22,62,9,10,33,24
2020-02-22,62,-6,2,-3,4
2020-02-22,62,-2,1,8,-4
2020-02-22,62,-5,1,-1,0
2020-02-22,62,-1,5,17,10
2020-02-22,62,2,10,22,8
2020-02-22,62,-1,4,49,16
2020-02-22,62,4,2,40,11
2020-02-22,62,1,6,42,8
2020-02-22,62,-6,6,37,1
2020-02-22,62,1,4,26,10
2020-02-22,62,0,0,18,10
2020-02-22,62,-3,2,28,5
2020-02-22,62,-2,1,23,6
2020-02-22,62,-3,1,15,4
2020-02-22,62,7,8,33,17
2020-02-22,62,4,3,71,15
2020-02-22,62,2,4,56,16
2020-02-22,62,-3,8,48,17
2020-02-23,155,-5,16,23,6
2020-02-23,155,2,17,54,20
2020-02-23,155,18,30,43,36
2020-02-23,155,1,7,76,26
2020-02-23,155,10,10,62,32
2020-02-23,155,0,9,27,2
2020-02-23,155,-1,7,29,17
2020-02-23,155,-7,25,29,-3
2020-02-23,155,-5,15,21,11
2020-02-23,155,1,8,28,9
2020-02-23,155,-2,15,-8,-3
2020-02-23,155,-19,30,12,-13
2020-02-23,155,-1,18,56,18
2020-02-23,155,13,12,61,30
2020-02-23,155,-8,15,17,3
2020-02-23,155,5,6,43,19
2020-02-23,155,1,8,35,9
2020-02-23,155,13,26,31,24
2020-02-23,155,1,11,20,9
2020-02-23,155,-1,14,32,26
2020-02-23,155,-16,17,17,8
2020-02-24,229,-4,23,22,-15
2020-02-24,229,5,19,25,2
2020-02-24,229,34,39,62,19
2020-02-24,229,2,14,28,-1
2020-02-24,229,0,15,32,-8
2020-02-24,229,-2,20,13,-5
2020-02-24,229,-1,18,2,-5
2020-02-24,229,-7,33,25,-18
2020-02-24,229,-5,26,22,-20
2020-02-24,229,2,18,17,-3
2020-02-24,229,-2,24,15,-13
2020-02-24,229,-18,27,28,-32
2020-02-24,229,4,25,22,3
2020-02-24,229,6,12,9,0
2020-02-24,229,-6,23,31,-21
2020-02-24,229,1,5,33,-3
2020-02-24,229,-1,14,12,-7
2020-02-24,229,10,26,38,-3
2020-02-24,229,3,25,20,0
2020-02-24,229,3,20,35,4
2020-02-24,229,-12,28,14,-21
2020-02-25,322,-6,5,20,-18
2020-02-25,322,4,7,50,-3
2020-02-25,322,23,23,80,27
2020-02-25,322,2,4,28,-2
2020-02-25,322,-1,0,33,-7
2020-02-25,322,-4,7,27,-7
2020-02-25,322,-2,-2,17,-7
2020-02-25,322,-11,1,24,-23
2020-02-25,322,-9,3,3,-23
2020-02-25,322,1,7,12,-7
2020-02-25,322,-8,4,9,-18
2020-02-25,322,-22,3,8,-37
2020-02-25,322,3,8,57,1
2020-02-25,322,7,2,14,-4
