Date,Confirmed,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline
2020-02-15,0,4,5,-2,4
2020-02-16,0,3,5,0,4
2020-02-17,0,2,4,0,1
2020-02-18,0,0,6,-1,3
2020-02-19,0,-2,2,-4,-1
2020-02-20,0,3,4,8,1
2020-02-21,0,0,1,-4,2
2020-02-22,0,3,2,1,3
2020-02-23,0,3,3,-3,8
2020-02-24,0,-2,2,0,1
2020-02-25,0,2,3,-3,3
2020-02-26,0,-1,3,4,2
2020-02-27,0,4,4,-4,8
2020-02-28,0,7,-7,-4,8
2020-02-29,0,6,-10,-1,10
2020-03-01,0,6,-10,-1,4
2020-03-02,0,5,-7,-8,3
2020-03-03,0,2,4,-1,6
2020-03-04,0,5,4,-4,3
2020-03-05,0,4,3,-7,1
2020-03-06,0,-1,2,-4,-2
2020-03-07,0,2,0,-2,3
2020-03-08,0,0,0,0,6
2020-03-09,0,0,0,-4,4
2020-03-10,0,2,3,-4,7
2020-03-11,0,2,0,-3,7
2020-03-12,0,3,4,4,4
2020-03-13,0,5,2,-2,1
2020-03-14,0,2,1,0,4
2020-03-15,0,1,1,5,2
2020-03-16,0,1,-1,-5,-3
2020-03-17,0,-1,3,-3,-1
2020-03-18,0,-1,4,-10,3
2020-03-19,0,-3,5,-3,0
2020-03-20,1,-7,2,-7,-4
2020-03-21,1,-11,-4,-6,-11
2020-03-22,2,-11,-8,-8,-23
2020-03-23,3,-12,-4,-14,-24
2020-03-24,3,-14,-3,-13,-22
2020-03-25,7,-14,-5,-16,-22
2020-03-26,10,-17,-7,-11,-29
2020-03-27,10,-16,-7,-11,-29
2020-03-28,10,-26,-16,-17,-30
2020-03-29,18,-23,-15,-19,-25
2020-03-30,27,-22,-15,-26,-28
2020-03-31,27,-24,-17,-20,-24
2020-04-01,74,-27,-17,-22,-32
2020-04-02,98,-23,-14,-20,-31
2020-04-03,120,-24,-17,-21,-35
2020-04-04,144,-24,-17,-16,-33
2020-04-05,184,-22,-15,-16,-30
2020-04-06,253,-20,-10,-20,-34
2020-04-07,278,-20,-11,-16,-29
2020-04-08,342,-20,-11,-19,-31
2020-04-09,410,-19,-9,-14,-30
2020-04-10,438,-24,-20,-20,-32
2020-04-11,491,-23,-14,-21,-35
