Date,Confirmed,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline
2020-02-15,0,1,1,26,7
2020-02-16,0,-5,3,-34,-5
2020-02-17,0,2,0,13,-5
2020-02-18,0,3,-1,15,-5
2020-02-19,0,6,4,49,-1
2020-02-20,0,-1,-2,-4,-9
2020-02-21,0,1,-1,12,-4
2020-02-22,0,-3,-1,9,2
2020-02-23,0,-1,9,0,7
2020-02-24,0,1,1,21,3
2020-02-25,0,1,1,13,-1
2020-02-26,1,2,2,23,1
2020-02-27,1,1,3,14,0
2020-02-28,6,1,3,20,1
2020-02-29,15,-4,-1,2,2
2020-03-01,19,-10,2,-30,-1
2020-03-02,25,-2,2,4,0
2020-03-03,32,-1,1,6,-2
2020-03-04,56,-3,1,9,1
2020-03-05,87,0,4,26,3
2020-03-06,108,-2,3,18,2
2020-03-07,147,-7,0,29,1
2020-03-08,176,-11,-2,-37,-9
2020-03-09,205,-4,2,11,-2
2020-03-10,400,-5,2,-4,-7
2020-03-11,598,-6,9,10,-9
2020-03-12,702,-6,51,-1,-20
2020-03-13,996,-34,5,3,-39
2020-03-14,1090,-47,-9,26,-37
2020-03-15,1221,-71,-39,-50,-54
2020-03-16,1333,-39,-9,22,-49
2020-03-17,1463,-44,-15,10,-53
2020-03-18,1550,-46,-15,18,-55
2020-03-19,1746,-44,-11,24,-56
2020-03-20,1914,-44,-12,31,-55
2020-03-21,2118,-49,-10,80,-42
2020-03-22,2385,-65,-32,-8,-57
2020-03-23,2621,-41,-14,-1,-58
2020-03-24,2863,-45,-14,-8,-59
2020-03-25,3084,-45,-13,0,-58
2020-03-26,3369,-43,-10,29,-56
2020-03-27,3755,-42,-9,16,-57
2020-03-28,4015,-47,-8,29,-50
2020-03-29,4284,-65,-32,-5,-57
2020-03-30,4445,-37,-11,37,-53
2020-03-31,4641,-36,-7,23,-52
2020-04-01,4863,-36,-6,18,-54
2020-04-02,5147,-37,-4,-7,-58
2020-04-03,5370,-35,-3,13,-53
2020-04-04,5550,-40,-3,32,-46
2020-04-05,5687,-60,-22,14,-52
2020-04-06,5865,-16,9,89,-46
2020-04-07,6086,-12,27,104,-44
2020-04-08,6086,-11,40,37,-52
2020-04-09,6211,-80,-80,166,-58
2020-04-10,6314,-81,-80,163,-58
2020-04-11,6409,-43,-2,-2,-55
