Date,Confirmed,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline
2020-02-15,2,2.0,-1.0,26.0,8.0
2020-02-15,2,5.0,-1.0,33.0,15.0
2020-02-15,2,3.0,7.0,42.0,10.0
2020-02-15,2,0.0,-1.0,20.0,8.0
2020-02-15,2,5.0,-2.0,11.0,9.0
2020-02-15,2,-3.0,-3.0,39.0,9.0
2020-02-15,2,-4.0,-2.0,5.0,0.0
2020-02-15,2,6.0,4.0,53.0,4.0
2020-02-15,2,5.0,2.0,28.0,15.0
2020-02-15,2,9.0,0.0,36.0,13.0
2020-02-15,2,2.0,-1.0,17.0,8.0
2020-02-15,2,-3.0,-6.0,3.0,
2020-02-15,2,-1.0,-2.0,31.0,7.0
2020-02-15,2,4.0,-3.0,32.0,11.0
2020-02-15,2,0.0,-2.0,-16.0,-2.0
2020-02-15,2,0.0,0.0,27.0,7.0
2020-02-15,2,-4.0,-2.0,6.0,
2020-02-15,2,1.0,-2.0,34.0,-29.0
2020-02-15,2,2.0,-2.0,28.0,6.0
2020-02-15,2,2.0,0.0,33.0,0.0
2020-02-16,2,2.0,3.0,13.0,5.0
2020-02-16,2,6.0,4.0,17.0,10.0
2020-02-16,2,-2.0,14.0,20.0,8.0
2020-02-16,2,2.0,1.0,11.0,6.0
2020-02-16,2,1.0,5.0,4.0,8.0
2020-02-16,2,4.0,2.0,7.0,8.0
2020-02-16,2,-3.0,-2.0,5.0,2.0
2020-02-16,2,14.0,6.0,12.0,0.0
2020-02-16,2,10.0,9.0,37.0,16.0
2020-02-16,2,10.0,6.0,40.0,11.0
2020-02-16,2,-6.0,2.0,4.0,4.0
2020-02-16,2,3.0,-4.0,10.0,
2020-02-16,2,3.0,4.0,34.0,4.0
2020-02-16,2,5.0,6.0,21.0,11.0
2020-02-16,2,-11.0,-17.0,-31.0,1.0
2020-02-16,2,4.0,4.0,14.0,17.0
2020-02-16,2,1.0,-13.0,-2.0,
2020-02-16,2,6.0,0.0,28.0,-25.0
2020-02-16,2,-2.0,0.0,1.0,7.0
2020-02-16,2,-3.0,0.0,8.0,1.0
2020-02-17,2,0.0,1.0,9.0,3.0
2020-02-17,2,0.0,0.0,10.0,8.0
2020-02-17,2,-1.0,8.0,14.0,7.0
2020-02-17,2,-2.0,0.0,-13.0,3.0
2020-02-17,2,3.0,3.0,15.0,14.0
2020-02-17,2,-8.0,-1.0,-30.0,-1.0
2020-02-17,2,-3.0,-2.0,-2.0,1.0
2020-02-17,2,-4.0,-1.0,-16.0,-5.0
2020-02-17,2,1.0,4.0,11.0,7.0
2020-02-17,2,-1.0,2.0,8.0,6.0
2020-02-17,2,0.0,1.0,10.0,4.0
2020-02-17,2,-3.0,0.0,8.0,
