Date,Confirmed,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline
2020-02-15,1,2,0,3,4
2020-02-16,1,-10,-7,-30,-11
2020-02-17,1,-4,-3,-3,-6
2020-02-18,1,0,0,13,-4
2020-02-19,1,3,1,26,-3
2020-02-20,1,1,1,-1,-6
2020-02-21,1,5,0,22,-2
2020-02-22,1,0,-1,-10,-2
2020-02-23,1,2,0,23,0
2020-02-24,1,2,0,24,-3
2020-02-25,1,8,9,8,-3
2020-02-26,2,5,2,4,-5
2020-02-27,7,7,4,10,-2
2020-02-28,7,7,2,16,-1
2020-02-29,12,8,4,8,5
2020-03-01,14,-1,-2,-7,-6
2020-03-02,15,1,2,10,-3
2020-03-03,21,0,2,5,-4
2020-03-04,35,-2,-1,-2,-5
2020-03-05,94,0,3,8,-4
2020-03-06,101,2,1,24,-1
2020-03-07,161,5,4,36,6
2020-03-08,203,1,-2,0,-6
2020-03-09,248,-2,0,8,-5
2020-03-10,355,-4,1,3,-6
2020-03-11,500,-4,4,10,-7
2020-03-12,599,-12,11,-17,-16
2020-03-13,814,-13,8,-4,-19
2020-03-14,961,-17,9,59,-13
2020-03-15,1022,-25,-2,-15,-30
2020-03-16,1103,-19,3,11,-25
2020-03-17,1190,-24,0,2,-32
2020-03-18,1279,-26,-3,1,-37
2020-03-19,1439,-22,-2,40,-35
2020-03-20,1639,-24,-5,11,-37
2020-03-21,1763,-26,-5,66,-28
2020-03-22,1934,-26,-9,57,-33
2020-03-23,2046,-25,-8,8,-38
2020-03-24,2286,-25,-7,22,-37
2020-03-25,2526,-19,1,25,-36
2020-03-26,2840,-18,-2,48,-35
2020-03-27,3069,-19,-5,43,-35
2020-03-28,3447,-24,-4,52,-29
2020-03-29,3700,-24,-10,43,-36
2020-03-30,4028,-22,-10,8,-39
2020-03-31,4435,-22,-7,27,-37
2020-04-01,4947,-22,-5,27,-38
2020-04-02,5568,-27,-8,-6,-43
2020-04-03,6131,-25,-7,6,-41
2020-04-04,6443,-26,-5,57,-32
2020-04-05,6830,-25,-9,69,-37
2020-04-06,7206,-12,-2,92,-35
2020-04-07,7693,-13,2,65,-37
2020-04-08,8419,-8,9,77,-36
2020-04-09,9141,-3,18,81,-37
2020-04-10,9685,-45,-20,129,-54
2020-04-11,10151,-41,-15,84,-36
